SISID,Station ID,Count Location,Quadrant,From Intersection,To Intersection,Day,Date,Temperature,Weather,Start Time,End Time,Duration,Travel Lanes,Parking,Speed limit,Bike Lanes,On Sidewalk,On Path/Trail,With Helmet,No Helmet,Male,Female,Peak Hour,CaBi Bikes,Total
10060050,50,6th St,NW,E St,F St,Thursday,5/17/2007,60,Overcast,16:00,17:15,1.25,2,1,25,No,1,0,7,4,10,1,10,,11
10060050,50,6th St,NW,E St,F St,Thursday,5/17/2007,58,Windy,8:30,9:30,1,2,2,25,No,2,0,13,2,10,5,15,,15
10060050,50,6th St,NW,E St,F St,Wednesday,7/30/2014,,,6:00,10:00,4,4,2,25,No,13,0,60,28,70,18,42,11,88
10060050,50,6th St,NW,E St,F St,Wednesday,7/30/2014,,,15:00,19:00,4,4,2,25,No,7,0,56,39,76,19,33,10,95
10060050,50,6th St,NW,E St,F St,Tuesday,7/28/2015,0,,15:00,19:00,4,0,,25,0,18,0,58,50,88,20,35,10,108
10060050,50,6th St,NW,E St,F St,Tuesday,7/28/2015,0,,6:00,10:00,4,0,,25,0,14,0,48,40,63,25,40,11,88
10110230,2,11th St,NW,Florida Ave,Clifton St,Thursday,2/17/2005,38,Partly Cloudy,8:15,9:15,1,2,2,25,No,2,,16,10,23,3,26,,26
10110230,2,11th St,NW,Florida Ave,Clifton St,Tuesday,5/31/2005,65,Sunny,8:15,9:30,1.25,2,2,25,Yes,3,,33,20,37,16,50,,53
10110230,2,11th St,NW,Florida Ave,Clifton St,Tuesday,10/4/2005,70,Mostly Cloudy,8:15,9:30,1.25,2,2,25,Yes,2,0,27,26,40,13,47,,53
10110230,2,11th St,NW,Florida Ave,Clifton St,Thursday,7/13/2006,90,,16:00,18:00,2,2,2,25,Yes,9,0,25,25,38,12,38,,50
10110230,2,11th St,NW,Florida Ave,Clifton St,Thursday,7/13/2006,74,,7:00,8:30,1.5,2,2,25,Yes,4,0,25,10,17,18,34,,35
10110230,2,11th St,NW,Florida Ave,Clifton St,Wednesday,5/21/2008,0,Clear,6:00,10:00,4,2,2,25,Yes,1,0,110,50,114,46,80,,160
10110230,2,11th St,NW,Florida Ave,Clifton St,Wednesday,5/21/2008,0,Clear,15:00,19:00,4,2,2,25,Yes,12,0,105,62,108,59,70,,167
10110230,2,11th St,NW,Florida Ave,Clifton St,Wednesday,6/3/2009,0,Clear,15:00,19:00,4,2,2,25,Yes,17,0,164,66,158,72,102,,230
10110230,2,11th St,NW,Florida Ave,Clifton St,Wednesday,6/3/2009,0,Clear,6:00,10:00,4,2,2,25,Yes,2,0,175,40,143,72,103,,215
10110230,2,11th St,NW,Florida Ave,Clifton St,Wednesday,6/15/2011,,,15:00,19:00,4,2,2,25,Yes,28,0,336,207,377,166,237,,543
10110230,2,11th St,NW,Florida Ave,Clifton St,Wednesday,6/15/2011,,,6:00,10:00,4,2,2,25,Yes,8,0,450,155,421,184,280,,605
10110230,2,11th St,NW,Florida Ave,Clifton St,Tuesday,6/19/2012,,,6:00,10:00,4,2,2,25,Yes,5,0,434,136,377,193,285,43,570
10110230,2,11th St,NW,Florida Ave,Clifton St,Tuesday,6/19/2012,0,,15:00,19:00,4,0,2,25,Yes,11,0,336,197,381,152,220,34,533
10110230,2,11th St,NW,Florida Ave,Clifton St,Wednesday,7/16/2014,,,6:00,10:00,4,2,2,25,Yes,8,0,484,178,437,225,309,53,662
10110230,2,11th St,NW,Florida Ave,Clifton St,Wednesday,7/16/2014,,,15:00,19:00,4,2,2,25,Yes,36,0,439,231,460,210,286,34,670
10130115,3,13th St,NW,Massachusetts Ave,M St,Monday,5/10/2004,65,Sunny,8:30,9:30,1,4,2,25,No,9,,31,20,,,51,,51
10130115,3,13th St,NW,Massachusetts Ave,M St,Tuesday,6/15/2004,77,Partly Cloudy,8:30,9:30,1,4,2,25,No,4,,27,14,,,41,,41
10130115,3,13th St,NW,Massachusetts Ave,M St,Monday,6/20/2005,70,Cloudy,8:30,9:30,1,4,2,25,No,7,,40,35,57,18,75,,75
10130115,3,13th St,NW,Massachusetts Ave,M St,Tuesday,9/6/2005,70,Sunny,8:30,9:30,1,4,2,25,No,7,,30,26,40,16,56,,56
10130115,3,13th St,NW,Massachusetts Ave,M St,Friday,7/14/2006,78,,8:00,9:30,1.5,4,2,25,No,9,,52,33,63,22,68,,85
10130115,3,13th St,NW,Massachusetts Ave,M St,Friday,7/14/2006,88,,17:00,18:00,1,4,2,25,No,4,,17,8,15,10,25,,25
10130115,3,13th St,NW,Massachusetts Ave,M St,Wednesday,5/7/2008,0,Clear,15:00,19:00,4,0,,,No,14,0,56,56,82,30,45,,112
10130115,3,13th St,NW,Massachusetts Ave,M St,Wednesday,5/7/2008,0,Clear,6:00,10:00,4,0,,,No,13,0,86,36,81,41,59,,122
10130115,3,13th St,NW,Massachusetts Ave,M St,Tuesday,6/23/2009,0,Clear,6:00,10:00,4,4,,25,No,12,0,122,40,118,44,74,,162
10130115,3,13th St,NW,Massachusetts Ave,M St,Tuesday,6/23/2009,0,Clear,15:00,19:00,4,4,,25,No,38,0,116,38,111,43,69,,154
10130115,3,13th St,NW,Massachusetts Ave,M St,Wednesday,6/22/2011,,,15:00,19:00,4,4,2,25,No,8,0,81,36,89,28,63,,117
10130115,3,13th St,NW,Massachusetts Ave,M St,Wednesday,6/22/2011,,,15:00,19:00,4,4,2,25,No,19,0,45,47,68,24,43,,92
10130115,3,13th St,NW,Massachusetts Ave,M St,Wednesday,6/27/2012,0,,15:00,19:00,4,4,2,25,No,17,0,80,61,109,32,63,3,141
10130115,3,13th St,NW,Massachusetts Ave,M St,Wednesday,6/27/2012,0,,6:00,10:00,4,4,2,25,No,20,0,101,48,115,34,65,5,149
10130115,3,13th St,NW,Massachusetts Ave,M St,Wednesday,7/16/2014,,,6:00,10:00,4,4,2,25,Yes,9,0,104,57,121,40,70,18,161
10130115,3,13th St,NW,Massachusetts Ave,M St,Wednesday,7/16/2014,,,15:00,19:00,4,4,2,25,Yes,23,0,87,99,143,43,70,22,186
10140180,5,14th St,NW,S St,Swann St,Tuesday,3/22/2005,45,Mostly Sunny,8:30,9:30,1,4,2,,No,5,,25,18,32,11,43,,43
10140180,5,14th St,NW,S St,Swann St,Wednesday,7/13/2005,77,Cloudy & Humid,8:30,9:30,1,4,2,,No,13,,30,20,37,13,50,,50
10140180,5,14th St,NW,S St,Swann St,Wednesday,8/31/2005,75,Partly Cloudy & Humid,8:30,9:30,1,4,2,,No,12,,30,18,37,11,48,,48
10140180,5,14th St,NW,S St,Swann St,Thursday,1/12/2006,40,Sunny,8:15,9:15,1,4,2,,Yes,5,0,26,15,35,6,41,,41
10140180,5,14th St,NW,S St,Swann St,Friday,7/27/2006,85,Humid,8:15,9:45,1.5,2,2,25,Yes,12,0,34,27,45,16,52,,61
10140180,5,14th St,NW,S St,Swann St,Wednesday,8/10/2006,78,Sunny,7:30,9:30,2,4,2,25,Yes,11,0,57,35,77,15,55,,92
10140180,5,14th St,NW,S St,Swann St,Friday,8/18/2006,87,Sunny,16:30,18:30,2,4,2,25,Yes,30,0,29,65,82,12,53,,94
10140180,5,14th St,NW,S St,Swann St,Tuesday,8/28/2007,75,Mostly Sunny,8:00,9:00,1,4,2,25,Yes,6,0,50,31,52,29,81,,81
10140180,5,14th St,NW,S St,Swann St,Wednesday,5/21/2008,60,Nice,6:00,10:00,4,2,2,25,Yes,8,0,141,57,143,55,101,,198
10140180,5,14th St,NW,S St,Swann St,Wednesday,5/21/2008,60,Nice,15:00,19:00,4,2,2,25,Yes,26,0,124,108,173,59,92,,232
10140180,5,14th St,NW,S St,Swann St,Thursday,6/25/2009,0,Nice,15:00,19:00,4,2,2,25,Yes,56,0,217,192,311,98,169,,409
10140180,5,14th St,NW,S St,Swann St,Thursday,6/25/2009,0,Nice,6:00,10:00,4,2,2,25,Yes,13,0,253,80,222,111,149,,333
10140180,5,14th St,NW,S St,Swann St,Thursday,6/23/2011,,,15:00,19:00,4,2,2,25,Yes,45,0,208,238,347,99,172,,446
10140180,5,14th St,NW,S St,Swann St,Thursday,6/23/2011,,,6:00,10:00,4,2,2,25,Yes,20,0,267,154,312,109,197,,421
10140180,5,14th St,NW,S St,Swann St,Tuesday,6/19/2012,0,,15:00,19:00,4,4,2,25,Yes,54,0,259,257,401,115,195,7,516
10140180,5,14th St,NW,S St,Swann St,Tuesday,6/19/2012,0,,6:00,10:00,4,4,2,25,Yes,23,0,261,176,303,134,192,3,437
10140180,5,14th St,NW,S St,Swann St,Thursday,7/17/2014,,,6:00,10:00,4,4,2,25,Yes,22,0,245,155,290,110,160,45,400
10140180,5,14th St,NW,S St,Swann St,Thursday,7/17/2014,,,15:00,19:00,4,4,2,25,Yes,69,0,234,273,408,99,195,39,507
10140349,4,14th St,NW,Ogden St,Oak St (S),Wednesday,3/20/2002,48,Overcast,18:00,19:00,1,,,,No,9,,,,,,16,,16
10140349,4,14th St,NW,Ogden St,Oak St (S),Monday,3/1/2004,40,Sunny,8:30,9:30,1,2,1,25,Yes,6,,13,15,,,28,,28
10140349,4,14th St,NW,Ogden St,Oak St (S),Monday,9/20/2004,60,Sunny,8:15,9:30,1.25,2,1,25,Yes,7,,22,17,35,4,32,,39
10140349,4,14th St,NW,Ogden St,Oak St (S),Thursday,4/28/2005,55,Mostly Sunny,8:15,9:30,1.25,2,1,25,Yes,3,,24,7,31,4,29,,35
10140349,4,14th St,NW,Ogden St,Oak St (S),Monday,6/13/2005,78,Mostly sunny & humid,8:30,9:30,1,2,1,25,Yes,5,,18,16,27,7,34,,34
10140349,4,14th St,NW,Ogden St,Oak St (S),Tuesday,8/30/2005,75,Overcast & Humid,8:30,9:30,1,2,1,25,Yes,5,,12,8,17,3,20,,20
10140349,4,14th St,NW,Ogden St,Oak St (S),Monday,7/31/2006,90,Hot & Humid,17:00,19:00,2,0,2,25,Yes,33,,21,76,90,7,65,,97
10140349,4,14th St,NW,Ogden St,Oak St (S),Thursday,10/19/2006,60,"Overcast, Foggy",8:15,10:00,1.75,2,2,25,Yes,6,0,54,28,60,22,62,,82
10140349,4,14th St,NW,Ogden St,Oak St (S),Tuesday,5/13/2008,0,Clear,6:00,10:00,4,2,2,25,Yes,9,0,67,37,84,20,45,,104
10140349,4,14th St,NW,Ogden St,Oak St (S),Tuesday,5/13/2008,0,Clear,15:00,19:00,4,2,2,25,Yes,34,0,48,114,136,26,55,,162
10140349,4,14th St,NW,Ogden St,Oak St (S),Wednesday,6/24/2009,0,Clear,6:00,10:00,4,2,,25,Yes,44,0,72,86,125,33,67,,158
10140349,4,14th St,NW,Ogden St,Oak St (S),Wednesday,6/24/2009,0,Clear,15:00,19:00,4,2,,25,Yes,48,0,79,175,218,36,83,,254
10140349,4,14th St,NW,Ogden St,Oak St (S),Wednesday,6/15/2011,,,15:00,19:00,4,2,2,25,No,100,0,142,264,350,56,135,,406
10140349,4,14th St,NW,Ogden St,Oak St (S),Wednesday,6/15/2011,,,6:00,10:00,4,2,2,25,No,7,0,189,106,220,75,116,,295
10140349,4,14th St,NW,Ogden St,Oak St (S),Tuesday,6/19/2012,0,,15:00,19:00,4,2,2,25,Yes,108,0,135,282,351,66,133,,417
10140349,4,14th St,NW,Ogden St,Oak St (S),Tuesday,6/19/2012,0,,6:00,10:00,4,2,2,25,Yes,34,0,174,159,261,72,121,,333
10140349,4,14th St,NW,Ogden St,Oak St (S),Wednesday,7/16/2014,,,15:00,19:00,4,2,2,25,Yes,38,0,156,257,346,67,134,11,413
10140349,4,14th St,NW,Ogden St,Oak St (S),Wednesday,7/16/2014,,,6:00,10:00,4,2,2,25,Yes,31,0,237,147,293,91,173,11,384
10150100,42,15th St,NW,K St (W),L St,Wednesday,9/8/2010,,,7:00,10:00,3,4,2,25,Yes,11,0,125,61,114,72,92,,186
10150100,42,15th St,NW,K St (W),L St,Wednesday,9/8/2010,,,16:00,19:00,3,4,2,25,Yes,18,0,115,56,133,38,86,,171
10150100,42,15th St,NW,K St (W),L St,Thursday,4/21/2011,,,16:00,19:00,3,4,2,25,Yes,7,0,196,69,193,72,117,,265
10150100,42,15th St,NW,K St (W),L St,Thursday,4/21/2011,,,7:00,10:00,3,4,2,25,Yes,4,0,156,63,157,62,129,,219
10150100,42,15th St,NW,K St (W),L St,Tuesday,6/21/2011,,,7:00,10:00,3,4,2,25,Yes,21,0,294,138,284,148,113,,432
10150100,42,15th St,NW,K St (W),L St,Tuesday,6/21/2011,,,16:00,19:00,3,4,2,25,Yes,20,0,311,139,327,123,139,,450
10150100,42,15th St,NW,K St (W),L St,Tuesday,6/19/2012,,,6:00,10:00,3,4,2,25,Yes,1,0,368,108,290,186,222,50,476
10150100,42,15th St,NW,K St (W),L St,Tuesday,6/19/2012,,,15:00,19:00,3,4,2,25,Yes,2,0,417,159,375,201,283,77,576
10150100,42,15th St,NW,K St (W),L St,Wednesday,6/5/2013,,,6:00,10:00,4,5,2,25,Yes,4,0,417,177,355,239,272,,594
10150100,42,15th St,NW,K St (W),L St,Wednesday,6/5/2013,,,15:00,19:00,4,5,2,25,Yes,17,0,455,237,467,225,323,,692
10150100,42,15th St,NW,K St (W),L St,Wednesday,6/18/2014,,,15:00,19:00,4,5,2,25,Yes,12,0,425,181,410,196,268,,606
10150100,42,15th St,NW,K St (W),L St,Wednesday,6/18/2014,,,6:00,10:00,4,5,2,25,Yes,10,0,332,241,353,220,286,,573
10150100,42,15th St,NW,K St (W),L St,Thursday,7/9/2015,0,,6:00,10:00,4,0,,,Yes,9,0,384,109,344,149,215,,493
10150100,42,15th St,NW,K St (W),L St,Thursday,7/9/2015,0,,15:00,19:00,4,0,,,Yes,19,0,409,204,442,171,275,,613
10150150,40,15th St,NW,P St,Church St,Monday,10/26/2009,70,"Mostly Sunny, Dry, Breezy",15:00,18:00,3,4,2,30,No,36,0,68,63,96,35,77,,131
10150150,40,15th St,NW,P St,Church St,Thursday,4/1/2010,,,6:00,10:00,4,3,2,30,Yes,8,0,113,53,105,61,95,,166
10150150,40,15th St,NW,P St,Church St,Thursday,4/1/2010,,,15:00,19:00,4,3,2,30,Yes,14,0,139,74,157,56,94,,213
10150150,40,15th St,NW,P St,Church St,Wednesday,9/8/2010,,,7:00,10:00,3,3,2,30,Yes,7,0,176,72,148,100,138,,248
10150150,40,15th St,NW,P St,Church St,Wednesday,9/8/2010,,,16:00,19:00,3,3,2,30,Yes,9,0,157,88,179,66,114,,245
10150150,40,15th St,NW,P St,Church St,Thursday,4/21/2011,,,16:00,19:00,3,3,2,30,Yes,21,0,283,112,296,99,178,,395
10150150,40,15th St,NW,P St,Church St,Thursday,4/21/2011,,,7:00,10:00,3,3,2,30,Yes,12,0,203,122,193,132,166,,325
10150150,40,15th St,NW,P St,Church St,Tuesday,6/21/2011,,,16:00,19:00,3,3,2,30,Yes,22,0,371,181,371,181,180,,552
10150150,40,15th St,NW,P St,Church St,Tuesday,6/21/2011,,,7:00,10:00,3,3,2,30,Yes,16,0,290,143,279,154,118,,433
10150150,40,15th St,NW,P St,Church St,Tuesday,6/19/2012,,,6:00,10:00,3,3,2,30,Yes,38,0,383,148,327,204,272,70,531
10150150,40,15th St,NW,P St,Church St,Tuesday,6/19/2012,,,15:00,19:00,3,3,2,30,Yes,47,0,440,222,433,229,355,54,662
10150150,40,15th St,NW,P St,Church St,Wednesday,6/5/2013,,,15:00,19:00,4,3,2,30,Yes,64,0,577,326,620,283,394,,903
10150150,40,15th St,NW,P St,Church St,Wednesday,6/5/2013,,,6:00,10:00,4,3,2,30,Yes,29,0,507,171,443,235,299,,678
10150150,40,15th St,NW,P St,Church St,Wednesday,6/18/2014,,,6:00,10:00,4,3,2,30,Yes,57,0,490,215,427,278,317,,705
10150150,40,15th St,NW,P St,Church St,Wednesday,6/18/2014,,,15:00,19:00,4,3,2,30,Yes,1,0,504,339,544,299,373,,843
10150150,40,15th St,NW,P St,Church St,Thursday,7/9/2015,0,,15:00,19:00,4,0,,,Yes,1,0,416,221,436,201,262,,637
10150150,40,15th St,NW,P St,Church St,Thursday,7/9/2015,0,,6:00,10:00,4,0,,,Yes,31,0,449,166,383,232,262,,615
10150185,41,15th St,NW,Swann St,T St,Monday,10/26/2009,70,"Mostly Sunny, Dry, Breezy",15:00,17:30,2.5,4,2,30,No,3,0,28,22,37,13,32,,50
10150185,41,15th St,NW,Swann St,T St,Thursday,4/1/2010,,,6:00,10:00,4,3,2,30,Yes,3,0,92,25,77,40,44,,117
10150185,41,15th St,NW,Swann St,T St,Thursday,4/1/2010,,,15:00,19:00,4,3,2,30,Yes,3,0,126,48,137,37,82,,174
10150185,41,15th St,NW,Swann St,T St,Wednesday,9/8/2010,,,7:00,10:00,3,3,2,30,Yes,3,0,106,30,88,48,68,,136
10150185,41,15th St,NW,Swann St,T St,Wednesday,9/8/2010,,,16:00,19:00,3,3,2,30,Yes,3,0,123,53,108,68,91,,176
10150185,41,15th St,NW,Swann St,T St,Thursday,4/21/2011,,,7:00,10:00,3,3,2,30,Yes,8,0,151,58,129,80,113,,209
10150185,41,15th St,NW,Swann St,T St,Thursday,4/21/2011,,,16:00,19:00,3,3,2,30,Yes,6,0,203,133,232,104,148,,336
10150185,41,15th St,NW,Swann St,T St,Tuesday,6/21/2011,,,16:00,19:00,3,3,2,30,Yes,5,0,267,128,249,146,119,,395
10150185,41,15th St,NW,Swann St,T St,Tuesday,6/21/2011,,,7:00,10:00,3,3,2,30,Yes,0,0,187,84,177,94,78,,271
10150185,41,15th St,NW,Swann St,T St,Tuesday,6/19/2012,,,6:00,10:00,3,3,2,30,Yes,0,0,238,92,210,120,159,0,330
10150185,41,15th St,NW,Swann St,T St,Tuesday,6/19/2012,,,15:00,19:00,3,3,2,30,Yes,3,0,309,158,318,149,241,8,467
10150185,41,15th St,NW,Swann St,T St,Wednesday,6/5/2013,,,6:00,10:00,4,3,2,30,Yes,2,0,320,118,268,170,210,,438
10150185,41,15th St,NW,Swann St,T St,Wednesday,6/5/2013,,,15:00,19:00,4,3,2,30,Yes,3,0,443,227,456,214,304,,670
10150185,41,15th St,NW,Swann St,T St,Wednesday,6/18/2014,,,6:00,10:00,4,3,2,30,0,4,0,310,109,265,154,202,,419
10150185,41,15th St,NW,Swann St,T St,Wednesday,6/18/2014,,,15:00,19:00,4,3,2,30,Yes,1,0,358,227,407,178,282,,585
10150185,41,15th St,NW,Swann St,T St,Thursday,7/9/2015,0,,6:00,10:00,4,0,,,Yes,8,0,323,102,276,149,167,,425
10150185,41,15th St,NW,Swann St,T St,Thursday,7/9/2015,0,,15:00,19:00,4,0,,,Yes,1,0,362,176,389,149,245,,538
10180200,6,18th St,NW,"U St, Vernon St",California St,Wednesday,5/21/2008,70,Nice,15:00,19:00,4,0,,25,No,23,0,68,137,147,58,83,,205
10180200,6,18th St,NW,"U St, Vernon St",California St,Wednesday,5/21/2008,70,Nice,6:00,10:00,4,,,25,No,4,0,109,44,101,52,84,,153
10180200,6,18th St,NW,"U St, Vernon St",California St,Tuesday,6/23/2009,0,Nice,15:00,19:00,4,3,2,25,No,23,0,211,120,250,81,142,,331
